"DATE";"NDX";"APPL";"MSFT"
"2016-09-01";4783.94;106.73;57.59
"2016-09-02";4798.74;107.95;56.53
"2016-09-03";4798.74;107.95;56.53
"2016-09-04";4798.74;107.95;56.53
"2016-09-05";4798.74;107.95;56.53
"2016-09-06";4829.51;113.09;57.95
"2016-09-07";4831.86;113.95;58.03
"2016-09-08";4804;112.18;57.4
"2016-09-09";4681.53;113.05;57.6
"2016-09-10";4681.53;113.05;57.6
"2016-09-11";4681.53;113.05;57.6
"2016-09-12";4764.65;107.73;57.67
"2016-09-13";4722.84;107.7;57.61
"2016-09-14";4746.06;108.36;57.66
"2016-09-15";4819.9;105.52;57.43
"2016-09-16";4818.05;103.13;56.21
"2016-09-17";4796.07;105.44;57.05
"2016-09-18";4796.07;105.44;57.05
"2016-09-19";4796.07;105.44;57.05
"2016-09-20";4805.22;111.77;56.26
"2016-09-21";4853.75;115.57;57.19
"2016-09-22";4891.36;114.92;57.25
"2016-09-23";4858.91;113.58;56.93
"2016-09-24";4858.91;113.58;56.93
"2016-09-25";4858.91;113.58;56.93
"2016-09-26";4817.17;113.57;56.81
"2016-09-27";4866.71;113.55;57.76
"2016-09-28";4875.27;114.62;57.82
"2016-09-29";4838.3;112.71;57.43
"2016-09-30";4875.7;112.88;56.9
